crop_name,agro_zone,crop_group,temp_lo,temp_hi,ph_lo,ph_hi,seasons_text,ph_is_real,temp_is_real,service_zone,kau_zone_source
Onion,Coastal Plain,Cool Season Vegetables,24.0,33.0,5.8,6.5,October-November,True,False,coastal_zone,Coastal Plain
Onion,Midland Laterites,Cool Season Vegetables,23.0,32.0,5.8,6.5,October-November,True,False,northern_zone,Midland Laterites
Onion,Midland Laterites,Cool Season Vegetables,23.0,32.0,5.8,6.5,October-November,True,False,central_zone,Midland Laterites
Onion,Midland Laterites,Cool Season Vegetables,23.0,32.0,5.8,6.5,October-November,True,False,southern_zone,Midland Laterites
Orchids,General (all zones),Ornamental Plants,22.0,32.0,5.6,6.5,,False,False,coastal_zone,General (all zones)
Orchids,General (all zones),Ornamental Plants,22.0,32.0,5.6,6.5,,False,False,southern_zone,General (all zones)
Orchids,General (all zones),Ornamental Plants,22.0,32.0,5.6,6.5,,False,False,central_zone,General (all zones)
Orchids,General (all zones),Ornamental Plants,22.0,32.0,5.6,6.5,,False,False,northern_zone,General (all zones)
Orchids,General (all zones),Ornamental Plants,22.0,32.0,5.6,6.5,,False,False,high_ranges,General (all zones)
Palmarosa,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Seedbed prepared after 15th April; seeds sown latest by August,False,False,coastal_zone,General (all zones)
Palmarosa,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Seedbed prepared after 15th April; seeds sown latest by August,False,False,southern_zone,General (all zones)
Palmarosa,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Seedbed prepared after 15th April; seeds sown latest by August,False,False,central_zone,General (all zones)
Palmarosa,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Seedbed prepared after 15th April; seeds sown latest by August,False,False,northern_zone,General (all zones)
Palmarosa,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Seedbed prepared after 15th April; seeds sown latest by August,False,False,high_ranges,General (all zones)
Papaya,General (all zones),Fruits,22.0,26.0,5.9,6.5,February-March (seed sowing/nursery raising) | May-June (transplanting to field),False,True,coastal_zone,General (all zones)
Papaya,General (all zones),Fruits,22.0,26.0,5.9,6.5,February-March (seed sowing/nursery raising) | May-June (transplanting to field),False,True,southern_zone,General (all zones)
Papaya,General (all zones),Fruits,22.0,26.0,5.9,6.5,February-March (seed sowing/nursery raising) | May-June (transplanting to field),False,True,central_zone,General (all zones)
Papaya,General (all zones),Fruits,22.0,26.0,5.9,6.5,February-March (seed sowing/nursery raising) | May-June (transplanting to field),False,True,northern_zone,General (all zones)
Papaya,General (all zones),Fruits,22.0,26.0,5.9,6.5,February-March (seed sowing/nursery raising) | May-June (transplanting to field),False,True,high_ranges,General (all zones)
Para grass,General (all zones),Fodder Crops,22.0,32.0,5.0,6.5,Any time other than winter months; rainfed crop planted with the first monsoon showers,False,False,coastal_zone,General (all zones)
Para grass,General (all zones),Fodder Crops,22.0,32.0,5.0,6.5,Any time other than winter months; rainfed crop planted with the first monsoon showers,False,False,southern_zone,General (all zones)
Para grass,General (all zones),Fodder Crops,22.0,32.0,5.0,6.5,Any time other than winter months; rainfed crop planted with the first monsoon showers,False,False,central_zone,General (all zones)
Para grass,General (all zones),Fodder Crops,22.0,32.0,5.0,6.5,Any time other than winter months; rainfed crop planted with the first monsoon showers,False,False,northern_zone,General (all zones)
Para grass,General (all zones),Fodder Crops,22.0,32.0,5.0,6.5,Any time other than winter months; rainfed crop planted with the first monsoon showers,False,False,high_ranges,General (all zones)
Pathimugham,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Onset of South West monsoon,False,False,coastal_zone,General (all zones)
Pathimugham,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Onset of South West monsoon,False,False,southern_zone,General (all zones)
Pathimugham,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Onset of South West monsoon,False,False,central_zone,General (all zones)
Pathimugham,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Onset of South West monsoon,False,False,northern_zone,General (all zones)
Pathimugham,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Onset of South West monsoon,False,False,high_ranges,General (all zones)
Pineapple,General (all zones),Fruits,15.0,30.0,5.9,6.5,May-June (Kew - main planting season) | April-May and August-September (Mauritius; can be planted all months except heavy rain of June-July),False,True,coastal_zone,General (all zones)
